date,price
10-Feb-2014 07:10:37,1661
10-Feb-2014 07:11:07,1656
10-Feb-2014 07:11:37,1745
10-Feb-2014 07:12:07,2215
10-Feb-2014 07:12:37,1630
10-Feb-2014 07:13:07,1627
10-Feb-2014 07:13:37,1625
10-Feb-2014 07:14:07,1623
10-Feb-2014 07:15:07,1622
10-Feb-2014 07:16:07,1621
10-Feb-2014 07:16:37,1622
10-Feb-2014 07:17:37,1623
10-Feb-2014 07:18:37,1618
10-Feb-2014 07:19:07,1616
10-Feb-2014 07:20:07,1486
10-Feb-2014 07:20:37,1376
10-Feb-2014 07:21:37,1185
10-Feb-2014 07:22:07,829
10-Feb-2014 07:22:37,832
10-Feb-2014 07:23:38,830
10-Feb-2014 07:25:37,862
10-Feb-2014 07:26:37,870
10-Feb-2014 07:27:07,878
10-Feb-2014 07:28:07,881
10-Feb-2014 07:29:08,882
10-Feb-2014 07:29:37,881
10-Feb-2014 07:30:07,883
10-Feb-2014 07:30:37,881
10-Feb-2014 07:32:07,879
10-Feb-2014 07:33:37,878
10-Feb-2014 07:34:07,875
10-Feb-2014 07:34:37,877
10-Feb-2014 07:36:38,865
10-Feb-2014 07:37:08,869
10-Feb-2014 07:37:38,1709
10-Feb-2014 07:38:38,732
10-Feb-2014 07:39:08,1604
10-Feb-2014 07:39:38,730
10-Feb-2014 07:40:08,731
10-Feb-2014 07:40:38,636
10-Feb-2014 07:41:08,635
10-Feb-2014 07:41:38,752
10-Feb-2014 07:42:08,912
10-Feb-2014 07:42:38,909
10-Feb-2014 07:43:08,906
10-Feb-2014 07:43:38,811
10-Feb-2014 07:44:08,809
10-Feb-2014 07:44:38,810
10-Feb-2014 07:45:38,899
10-Feb-2014 07:46:08,900
10-Feb-2014 07:46:38,901
10-Feb-2014 07:47:08,903
10-Feb-2014 07:52:08,757
10-Feb-2014 07:52:38,758
10-Feb-2014 07:53:08,951
10-Feb-2014 07:54:38,941
10-Feb-2014 07:55:08,960
10-Feb-2014 07:55:38,938
10-Feb-2014 07:56:08,966
10-Feb-2014 07:56:38,935
10-Feb-2014 07:57:38,1084
10-Feb-2014 07:58:08,1491
10-Feb-2014 07:58:38,1061
10-Feb-2014 07:59:08,1425
10-Feb-2014 07:59:38,1422
10-Feb-2014 08:00:08,1417
10-Feb-2014 08:01:45,1415
10-Feb-2014 08:02:08,1418
10-Feb-2014 08:02:38,1413
10-Feb-2014 08:03:38,1415
10-Feb-2014 08:04:08,1411
10-Feb-2014 08:04:38,1409
10-Feb-2014 08:05:08,1410
10-Feb-2014 08:05:38,1412
10-Feb-2014 08:06:08,1407
10-Feb-2014 08:07:38,1409
10-Feb-2014 08:08:38,1408
10-Feb-2014 08:09:38,1405
10-Feb-2014 08:11:38,1403
10-Feb-2014 08:12:38,1401
10-Feb-2014 08:13:08,1437
10-Feb-2014 08:13:38,1403
10-Feb-2014 08:15:38,1452
10-Feb-2014 08:17:08,1454
10-Feb-2014 08:20:38,1116
10-Feb-2014 08:24:38,775
10-Feb-2014 08:28:39,354
10-Feb-2014 08:29:39,199
10-Feb-2014 08:37:39,200
10-Feb-2014 08:38:09,201
10-Feb-2014 08:39:39,461
10-Feb-2014 08:44:39,714
10-Feb-2014 08:45:09,713
10-Feb-2014 08:47:39,711
10-Feb-2014 08:49:39,928
10-Feb-2014 08:50:39,787
10-Feb-2014 08:51:39,788
10-Feb-2014 08:53:08,425
10-Feb-2014 08:54:38,422
10-Feb-2014 08:55:38,424
10-Feb-2014 08:56:08,423
10-Feb-2014 08:57:38,419
10-Feb-2014 08:58:38,418
10-Feb-2014 08:59:49,850
10-Feb-2014 09:00:38,522
10-Feb-2014 09:01:38,610
10-Feb-2014 09:02:08,633
10-Feb-2014 09:03:08,521
10-Feb-2014 09:03:38,522
10-Feb-2014 09:04:38,420
10-Feb-2014 09:05:08,419
10-Feb-2014 09:05:38,418
10-Feb-2014 09:06:08,419
10-Feb-2014 09:06:38,417
10-Feb-2014 09:07:38,418
10-Feb-2014 09:08:38,417
10-Feb-2014 09:09:38,416
10-Feb-2014 09:10:08,971
10-Feb-2014 09:10:38,363
